"Cow Number","Milk Visit Date Time","Visit Result","Away","Last Routing Date Time","Last Routing Direction","Robot","Group ","Lactation days"
"2026","2024-04-12 11:27","Connection time","14:02","2024-04-12 11:33","Pre milking ","103","Milking Heifers","602"
"2137","2024-04-12 10:08","Connection time","18:52","2024-04-12 10:09","Pre milking ","103","Milking Heifers","218"
"2129","2024-04-12 07:56","Connection time","22:23","2024-04-12 07:59","d Batch Separation area","102","Milking Heifers","243"
"1928","2024-04-12 02:14","Successful","09:48","2024-04-12 11:05","Pre milking ","103","Milking Cows","243"
"2044","2024-04-12 01:48","Successful","10:14","2024-04-12 08:44","Pre milking ","103","Milking Cows","55"
"2202","2024-04-12 01:23","Successful","10:39","2024-04-12 11:09","Pre milking ","101","Milking Heifers","57"
"2134","2024-04-12 01:12","Successful","10:50","2024-04-12 10:13","Pre milking ","101","Milking Heifers","249"
"2203","2024-04-12 01:02","Successful","11:00","2024-04-12 09:24","Pre milking ","101","Milking Heifers","52"
"2102","2024-04-12 00:52","Successful","11:10","2024-04-12 11:03","Pre milking ","102","Milking Heifers","421"
"2201","2024-04-12 00:48","Successful","11:14","2024-04-12 08:33","Pre milking ","101","Milking Heifers","53"
"2106","2024-04-12 00:44","Successful","11:18","2024-04-12 10:06","Pre milking ","102","Milking Cows","62"
"2209","2024-04-12 00:29","Successful","11:33","2024-04-12 10:36","Pre milking ","101","Milking Heifers","49"
"2000","2024-04-12 00:24","Successful","11:39","2024-04-12 08:22","Pre milking ","102","Milking Cows","35"
"2012","2024-04-12 00:04","Successful","11:59","2024-04-12 09:35","Pre milking ","102","Milking Cows","220"
"2141","2024-04-12 00:03","Successful","11:59","2024-04-12 10:13","Pre milking ","103","Milking Heifers","244"
"2204","2024-04-11 23:59","Successful","12:03","2024-04-12 08:45","Pre milking ","101","Milking Heifers","55"
"1909","2024-04-11 23:52","Successful","12:10","2024-04-12 11:03","Pre milking ","102","Milking Cows","239"
"1924","2024-04-11 23:48","Successful","12:15","2024-04-12 11:11","Pre milking ","103","Milking Cows","242"
"2151","2024-04-11 23:46","Successful","12:16","2024-04-12 08:46","Pre milking ","102","Milking Heifers","35"
"1917","2024-04-11 23:42","Successful","12:20","2024-04-12 09:25","Pre milking ","101","Milking Cows","183"
"2154","2024-04-11 23:40","Successful","12:22","2024-04-12 08:44","Pre milking ","102","Milking Heifers","48"
"2128","2024-04-11 23:34","Successful","12:28","2024-04-12 09:41","Pre milking ","102","Milking Heifers","50"
"2133","2024-04-11 23:34","Successful","12:28","2024-04-12 11:10","Pre milking ","103","Milking Heifers","242"
"1918","2024-04-11 23:29","Successful","12:33","2024-04-12 10:30","Pre milking ","102","Milking Cows","235"
"1901","2024-04-11 23:28","Successful","12:34","2024-04-12 11:10","Pre milking ","103","Milking Cows","243"
"1925","2024-04-11 23:25","Successful","12:37","2024-04-12 11:05","Pre milking ","102","Milking Cows","32"
"2111","2024-04-11 23:07","Successful","12:55","2024-04-12 11:05","Pre milking ","103","Milking Cows","50"
"1903","2024-04-11 23:07","Successful","12:56","2024-04-12 11:04","Pre milking ","101","Milking Cows","30"
"1919","2024-04-11 23:02","Successful","13:00","2024-04-12 11:51","Pre milking ","103","Milking Cows","219"
"1461","2024-04-11 22:59","Successful","13:03","2024-04-12 11:10","Pre milking ","102","Milking Cows","247"
"1201","2024-04-11 22:58","Successful","13:04","2024-04-12 08:22","Pre milking ","101","Milking Cows","195"
"2041","2024-04-11 22:50","Successful","13:12","2024-04-12 11:51","Pre milking ","102","Milking Cows","242"
"1469","2024-04-11 22:38","Successful","13:24","2024-04-12 11:05","Pre milking ","102","Milking Cows","595"
"1460","2024-04-11 22:18","Successful","13:44","2024-04-12 11:08","Pre milking ","101","Milking Cows","45"
"1366","2024-04-11 21:48","Successful","14:14","2024-04-12 11:05","Pre milking ","103","Milking Cows","242"
"1251","2024-04-11 21:17","Successful","14:45","2024-04-12 11:03","Pre milking ","103","Milking Cows","228"
"1907","2024-04-11 21:14","Successful","14:48","2024-04-12 11:11","Pre milking ","102","Milking Cows","243"
"1282","2024-04-11 21:03","Successful","15:00","2024-04-12 11:10","Pre milking ","102","Milking Cows","585"
"1379","2024-04-11 20:58","Successful","15:04","2024-04-12 11:04","Pre milking ","103","Milking Cows","178"
"1930","2024-04-11 19:55","Successful","16:07","2024-04-12 11:06","Pre milking ","101","Milking Cows","382"
"2029","2024-04-11 19:26","Successful","16:37","2024-04-12 11:51","Pre milking ","101","Milking Heifers","387"
"1904","2024-04-11 19:11","Successful","16:52","2024-04-12 09:41","Pre milking ","101","Milking Cows","240"
"1922","2024-04-11 18:18","Successful","17:44","2024-04-12 11:07","Pre milking ","102","Milking Cows","202"
"2113","2024-04-12 09:36","Teats not found","18:30","2024-04-12 09:38","Pre milking ","103","Milking Cows","53"
